Model,Threshold,Threshold_Value,SENSITIVITY,SENSITIVITY_SE,SPECIFICITY,SPECIFICITY_SE,PRECISION,PRECISION_SE,F1,F1_SE,ACCURACY,ACCURACY_SE,TP,TN,FP,FN
RF_Default,Default (0.5),0.5,0.0,0.0,0.9132090483562326,0.04772829718275557,0.0,0.0,0.0,0.0,0.7244883720930232,0.06943950446944938,0,31,3,9
RF_Default,Optimal (F1),0.19,0.776009911248882,0.14006062990023477,0.5018289189782782,0.09237894892171006,0.28943857636386816,0.09329906524268497,0.4138575245299597,0.10825464300440811,0.5583720930232559,0.08016984404373477,7,17,17,2
RF_500trees,Default (0.5),0.5,0.0,0.0,0.8829351820417598,0.05468300932882091,0.0,0.0,0.0,0.0,0.7004418604651161,0.07078650707273725,0,30,4,9
RF_500trees,Optimal (F1),0.203,0.776009911248882,0.14006062990023477,0.5604726615792913,0.09079764146037873,0.31597786728376864,0.10035169176050154,0.4406683191537246,0.11219016332759414,0.6048837209302326,0.07860293103938742,7,19,15,2
RF_Tuned,Default (0.5),0.5,0.22075921537612714,0.14526624202905916,0.8525623584726993,0.05924351987856502,0.2783891580641581,0.1762195403435152,0.23583167867394814,0.14327987934334668,0.7219302325581394,0.07035085909068338,2,29,5,7
RF_Tuned,Optimal (F1),0.09899206349206349,1.0,0.0,0.3267358624504998,0.08267471429241056,0.27914131080014126,0.08035870657044665,0.4302688006792671,0.09874899602784437,0.46599999999999997,0.07738476839575527,9,11,23,0
GradientBoosting_Default,Default (0.5),0.5,0.33155195180636354,0.16375009862330084,0.7643234599982759,0.07390784428420002,0.2687535577726367,0.13663366600033106,0.2868360605801622,0.13436057941790439,0.6751162790697675,0.07400722049757101,3,26,8,6
GradientBoosting_Default,Optimal (F1),0.012168160525985672,1.0,0.0,0.1743842654191006,0.06564841368233207,0.2399168223018405,0.07064894280435521,0.38175569020930405,0.09210330483108774,0.34516279069767436,0.07252323250966287,9,6,28,0
GradientBoosting_Tuned,Default (0.5),0.5,0.33155195180636354,0.16375009862330084,0.9110219758975845,0.047886138892837285,0.49194206626706627,0.2251742827914591,0.38041691282743834,0.16748651071185783,0.7912790697674417,0.06302443575656785,3,31,3,6
GradientBoosting_Tuned,Optimal (F1),0.5387448331754806,0.33155195180636354,0.16375009862330084,0.9403889903208166,0.039252830130910424,0.5857353174603175,0.2451261767167869,0.4069185699423443,0.17425709172179824,0.8146046511627906,0.059623915985873785,3,32,2,6
XGBoost_Default,Default (0.5),0.5,0.0,0.0,0.9128455612571466,0.04750441911034944,0.0,0.0,0.0,0.0,0.7242093023255813,0.06920360926197218,0,31,3,9
XGBoost_Default,Optimal (F1),0.0498933307826519,0.8886242971081209,0.1098083792394632,0.38579260467683324,0.08570247497875591,0.273537630396112,0.08287944792413346,0.4116721016207576,0.10084280575921795,0.48960465116279067,0.07672371467627424,8,13,21,1
XGBoost_Tuned,Default (0.5),0.5,0.0,0.0,0.942182704621857,0.03924542303906368,0.0,0.0,0.0,0.0,0.7473953488372093,0.06647647469141692,0,32,2,9
XGBoost_Tuned,Optimal (F1),0.08411593362689018,0.7757472782119841,0.1480087657595568,0.46625518350740197,0.08570881161884854,0.27444181622379166,0.09011513227656777,0.3980837331350699,0.10729438904284495,0.530093023255814,0.07611285066067996,7,16,18,2
SVM_RBF,Default (0.5),0.5,0.11079273643023643,0.11106406974157244,0.8222114927104517,0.06562410020027042,0.14265791985791987,0.14540637113969773,0.1183942399810895,0.1135111751968017,0.6754186046511627,0.0730512129862804,1,28,6,8
SVM_RBF,Optimal (F1),0.1948351332427975,0.8871229811038635,0.11004095372878972,0.20037998280333527,0.06798472690301575,0.22426833770175134,0.07053853750522816,0.3528569650563104,0.09287642861777755,0.34274418604651163,0.07047454077737993,8,7,27,1
SVM_Linear,Default (0.5),0.5,0.0,0.0,0.8843769437412226,0.053857409392347774,0.0,0.0,0.0,0.0,0.7015813953488371,0.0704454497077858,0,30,4,9
SVM_Linear,Optimal (F1),0.12276333438079351,0.8865612024413496,0.11222528633911594,0.2951182225377183,0.07969951695613303,0.2468294098735403,0.07644459466367054,0.3804133976565688,0.09735208204687384,0.4177209302325581,0.0756388189730702,8,10,24,1
NeuralNet_Simple,Default (0.5),0.5,0.0,0.0,0.762169522561373,0.07213908938321179,0.0,0.0,0.0,0.0,0.6047209302325582,0.07551872535957622,0,26,8,9
NeuralNet_Simple,Optimal (F1),0.09532275018729705,1.0,0.0,0.08972106273486422,0.04863467834233303,0.22252742016432975,0.06610586110966783,0.3592712939527461,0.08851356485733543,0.27804651162790694,0.06733778657894898,9,3,31,0
NeuralNet_Tuned,Default (0.5),0.5,0.33843272487316606,0.16707302158660278,0.6780511735009739,0.08199164033749123,0.21512739472202017,0.1134931091891107,0.25445805540024447,0.12132624090157752,0.6079534883720931,0.07633377221756228,3,23,11,6
NeuralNet_Tuned,Optimal (F1),0.2408479057348843,1.0,0.0,0.14472689869611163,0.05851171467440489,0.2334777057823737,0.06899127090984451,0.37350770833739844,0.09074001445965356,0.32162790697674415,0.06994976177604674,9,5,29,0
LogisticRegression_L2,Default (0.5),0.5,0.0,0.0,0.7932486648349631,0.06922782948971175,0.0,0.0,0.0,0.0,0.6291860465116279,0.07349711090225866,0,27,7,9
LogisticRegression_L2,Optimal (F1),0.014593819543103573,1.0,0.0,0.20636391115427175,0.06911061417888023,0.2470151353045476,0.07147890751224636,0.3908946359223427,0.09231146219629185,0.37076744186046506,0.07120135374044996,9,7,27,0
LogisticRegression_Tuned,Default (0.5),0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7932325581395346,0.06226793151176552,0,34,0,9
LogisticRegression_Tuned,Optimal (F1),0.09980359125855433,1.0,0.0,0.11469986561383728,0.0545104364134241,0.2273341141817257,0.06705812990822817,0.3655921882883272,0.0891841832470164,0.2979302325581395,0.06830751181900269,9,4,30,0
