Model,accuracy_mean,accuracy_se,accuracy_ci_lower,accuracy_ci_upper,sensitivity_mean,sensitivity_se,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_se,specificity_ci_lower,specificity_ci_upper,precision_mean,precision_se,precision_ci_lower,precision_ci_upper,f1_mean,f1_se,f1_ci_lower,f1_ci_upper,auc_roc_mean,auc_roc_se,auc_roc_ci_lower,auc_roc_ci_upper,auc_pr_mean,auc_pr_se,auc_pr_ci_lower,auc_pr_ci_upper
RF_Default,0.7244883720930232,0.06943950446944938,0.5813953488372093,0.8604651162790697,0.0,0.0,0.0,0.0,0.9132090483562326,0.04772829718275557,0.8064516129032258,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6030796648485633,0.0973969492020866,0.4089294258373206,0.7737010796221322,0.31970968636124486,0.10594802187159669,0.13786029942279943,0.5463378912316061
RF_500trees,0.7004418604651161,0.07078650707273725,0.5581395348837209,0.8372093023255814,0.0,0.0,0.0,0.0,0.8829351820417598,0.05468300932882091,0.7666176470588236,0.9722409909909909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6412297554453598,0.09421004873622764,0.4541847704991087,0.8105310150375941,0.3206129843863378,0.10235725837903203,0.14888357376611233,0.5352255870617725
RF_Tuned,0.7219302325581394,0.07035085909068338,0.5813953488372093,0.8604651162790697,0.22075921537612714,0.14526624202905916,0.0,0.5,0.8525623584726993,0.05924351987856502,0.7272727272727273,0.9666666666666667,0.2783891580641581,0.1762195403435152,0.0,0.6666666666666666,0.23583167867394814,0.14327987934334668,0.0,0.5333333333333333,0.5988791858570178,0.10408471691130701,0.3888636363636363,0.7941331269349845,0.3831062721082791,0.13373933720267311,0.13265210909268838,0.6374900819116613
GradientBoosting_Default,0.6751162790697675,0.07400722049757101,0.5348837209302325,0.813953488372093,0.33155195180636354,0.16375009862330084,0.0,0.6666666666666666,0.7643234599982759,0.07390784428420002,0.6060606060606061,0.9,0.2687535577726367,0.13663366600033106,0.0,0.5454545454545454,0.2868360605801622,0.13436057941790439,0.0,0.5386363636363635,0.5743358260791354,0.11603681364478013,0.3427678571428571,0.7941754201680672,0.3734340497702892,0.13571246439994325,0.14150174613650113,0.6460134729649435
GradientBoosting_Tuned,0.7912790697674417,0.06302443575656785,0.6744186046511628,0.9069767441860465,0.33155195180636354,0.16375009862330084,0.0,0.6666666666666666,0.9110219758975845,0.047886138892837285,0.8125,1.0,0.49194206626706627,0.2251742827914591,0.0,1.0,0.38041691282743834,0.16748651071185783,0.0,0.6666666666666666,0.5638697574983703,0.1235408411870527,0.3012663398692811,0.7923717948717948,0.4228492446087002,0.14543299662827613,0.15449334538423354,0.6813496245155038
XGBoost_Default,0.7242093023255813,0.06920360926197218,0.5813953488372093,0.8604651162790697,0.0,0.0,0.0,0.0,0.9128455612571466,0.04750441911034944,0.8123487903225807,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5888453900270278,0.09507016084286961,0.4105815637065637,0.7805192605497483,0.27940039903875324,0.08764173508675215,0.1308837391681819,0.46784815566880783
XGBoost_Tuned,0.7473953488372093,0.06647647469141692,0.6046511627906976,0.8604651162790697,0.0,0.0,0.0,0.0,0.942182704621857,0.03924542303906368,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54426515487528,0.09209062804834678,0.3611111111111111,0.7208087633087633,0.2623904137264782,0.08668815040588271,0.11785380983750549,0.46435905266695393
SVM_RBF,0.6754186046511627,0.0730512129862804,0.5348837209302325,0.813953488372093,0.11079273643023643,0.11106406974157244,0.0,0.375,0.8222114927104517,0.06562410020027042,0.6774193548387096,0.9411764705882353,0.14265791985791987,0.14540637113969773,0.0,0.5,0.1183942399810895,0.1135111751968017,0.0,0.3639204545454543,0.49209245679958336,0.11796327845714129,0.2679411764705883,0.7214484126984126,0.2589911611623165,0.09114434947904801,0.108983379551353,0.45875689148474114
SVM_Linear,0.7015813953488371,0.0704454497077858,0.5581395348837209,0.8372093023255814,0.0,0.0,0.0,0.0,0.8843769437412226,0.053857409392347774,0.7631578947368421,0.9736842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5174227647116033,0.10442256747252032,0.3136437908496732,0.718422619047619,0.252102477686994,0.08279457396943815,0.11993201943534013,0.440312836108458
NeuralNet_Simple,0.6047209302325582,0.07551872535957622,0.46511627906976744,0.7441860465116279,0.0,0.0,0.0,0.0,0.762169522561373,0.07213908938321179,0.6176470588235294,0.9033014112903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388381704392595,0.109454847984387,0.1873876633986928,0.6031845238095238,0.2093890021730375,0.07073461496751157,0.09144431774365984,0.36648363323566807
